Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
"Electronics, Information Technology and Artificial Intelligence Department",Regarding the tender process of Setu Kendra in the collector and tehsil offices of the state.....,202407191742379111,19-07-2024,155,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202407191742379111.pdf,4,159029,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202407191742379111.pdf",Downloaded,2026-07-27 22:12:25
"Electronics, Information Technology and Artificial Intelligence Department",Regarding appropriation of funds accruing to State Setu Societies and District Setu Societies.,202403072009348011,07-03-2024,180,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202403072009348011.pdf,5,184702,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202403072009348011.pdf",Downloaded,2026-07-27 22:12:26
"Electronics, Information Technology and Artificial Intelligence Department",Regarding Empanelment of Consultants for IT Projects in Government of Maharashtra - Educational Qualification of Consultants,202403051249430211,05-03-2024,716,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202403051249430211.pdf,4,733620,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202403051249430211.pdf",Downloaded,2026-07-27 22:12:27
"Electronics, Information Technology and Artificial Intelligence Department",Regarding Empanelment of Consultants for IT Projects in Government of Maharashtra - Clarification reg start date,202312151508137711,15-12-2023,502,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202312151508137711.pdf,1,513995,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202312151508137711.pdf",Downloaded,2026-07-27 22:12:28
"Electronics, Information Technology and Artificial Intelligence Department",Regarding Empanelment of Consultants for IT Projects in Government of Maharashtra - Change in Contact details,202310271649358711,27-10-2023,631,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202310271649358711.pdf,2,646564,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202310271649358711.pdf",Downloaded,2026-07-27 22:12:29
"Electronics, Information Technology and Artificial Intelligence Department",Regarding Empanelment of Consultants for IT Projects in Government of Maharashtra.,202310041905383211,05-10-2023,812,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202310041905383211.pdf,15,831841,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202310041905383211.pdf",Downloaded,2026-07-27 22:12:30
"Electronics, Information Technology and Artificial Intelligence Department",Empanelment of Consultants for IT Projects in Government of Maharashtra Extension of empaneled Agencies.,202304241816282211,24-04-2023,1246,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202304241816282211.pdf,0,0,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202304241816282211.pdf",404 Client Error: Not Found for url: https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202304241816282211.pdf,2026-07-27 22:12:30
"Electronics, Information Technology and Artificial Intelligence Department",To Provide Computer/Laptop/Tablet/IPad to Government Officials/Employees..,202304131657547811,12-04-2023,164,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202304131657547811.pdf,2,168004,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202304131657547811.pdf",Downloaded,2026-07-27 22:12:31
"Electronics, Information Technology and Artificial Intelligence Department",Regarding setting up a task force to launch and implement 5G services in the state.,202303301831230311,27-03-2023,217,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202303301831230311.pdf,3,221761,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202303301831230311.pdf",Downloaded,2026-07-27 22:12:32
"Electronics, Information Technology and Artificial Intelligence Department",Standard Operating Procedures for implement eOffice....,202302231826565311,23-02-2023,1804,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202302231826565311.pdf,5,1847521,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202302231826565311.pdf",Downloaded,2026-07-27 22:12:34
"Electronics, Information Technology and Artificial Intelligence Department",Telecom Infrastructure Policy.,202211041809363311,04-11-2022,237,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202211041809363311.pdf,5,242703,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202211041809363311.pdf",Downloaded,2026-07-27 22:12:35
"Electronics, Information Technology and Artificial Intelligence Department",Regarding the classification/adjustment of certain posts in the Directorate of Information Technology to the Information Technology Sub-Division (Desk 39) under the control of the General Administration Department for administrative functions.,202208121727550611.....,12-08-2022,648,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202208121727550611......pdf,0,0,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202208121727550611......pdf",404 Client Error: Not Found for url: https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202208121727550611......pdf,2026-07-27 22:12:35
"Electronics, Information Technology and Artificial Intelligence Department",Appointment of Nominated Directors on Maharashtra IT Corporation.,202204131804007411,13-04-2022,133,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202204131804007411.pdf,2,135690,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202204131804007411.pdf",Downloaded,2026-07-27 22:12:36
"Electronics, Information Technology and Artificial Intelligence Department",Continuation of Posts.,202204011559347911,31-03-2022,732,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202204011559347911.pdf,3,749928,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202204011559347911.pdf",Downloaded,2026-07-27 22:12:37
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission budget for the year 2021-22 disbursement of fund through provision.,202203031553204811,03-03-2022,1076,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202203031553204811.pdf,2,1101720,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202203031553204811.pdf",Downloaded,2026-07-27 22:12:38
"Electronics, Information Technology and Artificial Intelligence Department",Regarding implementation of Maharashtra Unified Citizen Data Hub for digitalization of government services,202202042136207511,04-02-2022,560,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202202042136207511.pdf,3,573054,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202202042136207511.pdf",Downloaded,2026-07-27 22:12:39
"Electronics, Information Technology and Artificial Intelligence Department",Regarding the suspension of the existing panel of OMR Vendor Companies for the examination to be held as per the revised decision given by the Cabinet in its meeting dated 15.12.2021.,202201181323077511...,18-01-2022,1433,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202201181323077511....pdf,4,1467543,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202201181323077511....pdf",Downloaded,2026-07-27 22:12:40
"Electronics, Information Technology and Artificial Intelligence Department",Formation of a committee to review and report the services of the officers / staff of the Directorate of Information Technology beyond the age of 50/55 years / 30 years after qualifying service.,202201181454215111,18-01-2022,1412,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202201181454215111.pdf,2,1445790,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202201181454215111.pdf",Downloaded,2026-07-27 22:12:41
"Electronics, Information Technology and Artificial Intelligence Department","Regarding giving Ministerial Status to Chairman Rajiv Gandhi Science and Technology Commission, Mumbai.",202201181204035411,30-12-2021,1415,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202201181204035411.pdf,2,1448576,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202201181204035411.pdf",Downloaded,2026-07-27 22:12:42
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission for Salaries and Allowances of Officers/ Employees budget for the year 2021-22 disbursement of funds through provision.,202112241234462311,24-12-2021,1298,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202112241234462311.pdf,2,1329473,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202112241234462311.pdf",Downloaded,2026-07-27 22:12:43
"Electronics, Information Technology and Artificial Intelligence Department","Amendment to the Disbursement process of Maharashtra Direct Benefit Transfer and Services (Maha DBT) Portal as the single Pan State portal for delivery of benefits, subsidies and services in Maharashtra -",202111301536272711,30-11-2021,566,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202111301536272711.pdf,6,579246,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202111301536272711.pdf",Downloaded,2026-07-27 22:12:44
"Electronics, Information Technology and Artificial Intelligence Department","Appointment to the post of Member Secretary, Rajiv Gandhi Science and Technology Commission, Mumbai- Mr. Narendra Shah, Retired Professor, Indian Institute of Technology, Mumbai.",202111021709449611,02-11-2021,1169,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202111021709449611.pdf,2,1197506,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202111021709449611.pdf",Downloaded,2026-07-27 22:12:45
"Electronics, Information Technology and Artificial Intelligence Department",Final seniority list - Regarding publication of final seniority list of Assistant (Technical) Group-B (Non-Gazetted) employees of Directorate of Information Technology from 01.01.2004 to 01.01.2021.,202109031145424411,03-09-2021,1657,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202109031145424411.pdf,10,1696583,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202109031145424411.pdf",Downloaded,2026-07-27 22:12:46
"Electronics, Information Technology and Artificial Intelligence Department",Rajiv Gandhi Science and Technology Commission budget for the year 2021-22 disbursement of fund through provision.,202109021300574411,02-09-2021,310,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202109021300574411.pdf,2,316995,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202109021300574411.pdf",Downloaded,2026-07-27 22:12:47
"Electronics, Information Technology and Artificial Intelligence Department",The Awards to be presented in the name of former Prime Minister Late Rajiv Gandhi to the organization for Excellent performance in the field of I.T. in Maharashtra State.,202108101606213911,10-08-2021,1046,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202108101606213911.pdf,2,1071092,"GR_DATASET\pdfs\Electronics, Information Technology and Artificial Intelligence Department\202108101606213911.pdf",Downloaded,2026-07-27 22:12:49
