Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
Environment Department,"Regarding distribution of funds for the conservation of village ponds at Mouje Takwade, Tal. Shirol, Dist. Kolhapur under the State Lake Conservation Scheme.",202412131145337504,13-12-2024,172,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412131145337504.pdf,4,175733,GR_DATASET\pdfs\Environment Department\202412131145337504.pdf,Downloaded,2026-07-27 22:24:01
Environment Department,"Regarding distribution of funds for village pond conservation at Maw. Belvale (B), Tal. Kagal, Dist. Kolhapur under the State Lake Conservation Scheme.",202412131147168504,13-12-2024,175,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412131147168504.pdf,4,178711,GR_DATASET\pdfs\Environment Department\202412131147168504.pdf,Downloaded,2026-07-27 22:24:01
Environment Department,"Regarding distribution of funds for village pond conservation at Village Mahagaon, Taluka Gadhinglaj, Dist. Kolhapur under the State Lake Conservation Scheme.",202412131149066004,13-12-2024,176,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412131149066004.pdf,5,180626,GR_DATASET\pdfs\Environment Department\202412131149066004.pdf,Downloaded,2026-07-27 22:24:02
Environment Department,"Regarding administrative approval and release of funds to Dharmaveer Sambhaji (Kambar) Lake, Solapur under the National Plan for Conservation of Aquatic Eco-systems (NPCA) Central Government sponsored program expenditure.",202412031143029404,03-12-2024,581,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412031143029404.pdf,3,594642,GR_DATASET\pdfs\Environment Department\202412031143029404.pdf,Downloaded,2026-07-27 22:24:03
Environment Department,"Regarding making available the funds received from the Central Government to the Pune Municipal Corporation for expenditure for implementing the works under the Central Government sponsored scheme, Mula-Mutha River, Pune Pollution Reduction Project under the National River Conservation Scheme.",202412031148104104,03-12-2024,577,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412031148104104.pdf,3,591199,GR_DATASET\pdfs\Environment Department\202412031148104104.pdf,Downloaded,2026-07-27 22:24:04
Environment Department,"Regarding depositing funds released by the Central Government into the SNA account for the Central Government sponsored scheme, Mula-Mutha River, Pune Pollution Reduction Project under the National River Conservation Scheme.",202411261516348304,26-11-2024,637,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411261516348304.pdf,3,652355,GR_DATASET\pdfs\Environment Department\202411261516348304.pdf,Downloaded,2026-07-27 22:24:05
Environment Department,"Under the State Lake Conservation Scheme, Mr. Mangoli, Radhanagari, Dist. Regarding granting final approval along with administrative approval to Village Lake Conservation Proposal at Kolhapur.",202410151504370204,15-10-2024,246,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151504370204.pdf,9,252407,GR_DATASET\pdfs\Environment Department\202410151504370204.pdf,Downloaded,2026-07-27 22:24:06
Environment Department,"Under the State Lake Conservation Scheme, Mr. Shelewadi, Radhanagari, Dist. Regarding granting final approval to Kolhapur conservation proposal with administrative approval.",202410151506511404,15-10-2024,315,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151506511404.pdf,9,322222,GR_DATASET\pdfs\Environment Department\202410151506511404.pdf,Downloaded,2026-07-27 22:24:06
Environment Department,"Under the State Lake Conservation Scheme, Mr. Kembli, Kagal, Dist. Regarding granting final approval to Kolhapur conservation proposal with administrative approval.",202410151455565904,15-10-2024,247,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151455565904.pdf,9,252734,GR_DATASET\pdfs\Environment Department\202410151455565904.pdf,Downloaded,2026-07-27 22:24:07
Environment Department,"Under the State Lake Conservation Scheme, Mr. Who, Hatkanangle, Dist. Regarding grant of administrative approval with final approval to village lake at Kolhapur.",202410151458190004,15-10-2024,825,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151458190004.pdf,11,844816,GR_DATASET\pdfs\Environment Department\202410151458190004.pdf,Downloaded,2026-07-27 22:24:08
Environment Department,Regarding granting final approval along with administrative approval to Tadepura Lake in Amalner Nagar Parishad limits under State Lake Conservation Scheme.,202410151500141604,15-10-2024,249,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151500141604.pdf,9,255442,GR_DATASET\pdfs\Environment Department\202410151500141604.pdf,Downloaded,2026-07-27 22:24:09
Environment Department,"Under the State Lake Conservation Scheme, Mr. Devoli, Ambernath, Dist. Regarding granting final approval along with administrative approval to village lake conservation proposal at Thane",202410151502219904,15-10-2024,378,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151502219904.pdf,9,387334,GR_DATASET\pdfs\Environment Department\202410151502219904.pdf,Downloaded,2026-07-27 22:24:11
Environment Department,"Under the State Lake Conservation Scheme, Mauje Arjunwada, Tt. Radhanagari, Dist. Regarding giving final approval along with administrative approval to Gavatlav proposal at Kolhapur as well as disbursing funds.",202410141200077904....,14-10-2024,262,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410141200077904.....pdf,11,269281,GR_DATASET\pdfs\Environment Department\202410141200077904.....pdf,Downloaded,2026-07-27 22:24:11
Environment Department,Regarding distribution of prize money to the highest performing local bodies under Majhi Vasundhara Abhiyan 4.0 and determining the procedure for allocation of prize money.,202410101610477804,10-10-2024,304,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410101610477804.pdf,3,310915,GR_DATASET\pdfs\Environment Department\202410101610477804.pdf,Downloaded,2026-07-27 22:24:12
Environment Department,"Under the State Lake Conservation Scheme, Mr. Belvale (Bu.), T. Kagal, Distt. Regarding giving administrative approval along with final approval to Gavatalwas at Kolhapur.",202410101321363304,09-10-2024,1044,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410101321363304.pdf,9,1068889,GR_DATASET\pdfs\Environment Department\202410101321363304.pdf,Downloaded,2026-07-27 22:24:13
