Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
Housing Department,Regarding the distribution of interest on the Provident Fund of the employees of Maharashtra Housing Board in the financial year 2024-2025.,202412241441398809,24-12-2024,162,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412241441398809.pdf,2,166024,GR_DATASET\pdfs\Housing Department\202412241441398809.pdf,Downloaded,2026-07-27 21:34:43
Housing Department,Regarding the distribution of interest on the contributory provident fund of the employees of the Vidarbha Housing Board in the financial year 2024-2025.,202412241442052709,24-12-2024,136,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412241442052709.pdf,2,138787,GR_DATASET\pdfs\Housing Department\202412241442052709.pdf,Downloaded,2026-07-27 21:34:44
Housing Department,"Section 91 (a) of the MHAD Act, 1976 for the redevelopment of the property known as 11-13 Modi Street at Land Tax Survey No.1235, Fort Division, Cess No.A-2008-2012-2627, Building No.221 Mint Road, Mumbai. Regarding acquisition of land as per.",202412021712002809,02-12-2024,151,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412021712002809.pdf,3,154666,GR_DATASET\pdfs\Housing Department\202412021712002809.pdf,Downloaded,2026-07-27 21:34:44
Housing Department,Regarding the formation of a technical committee for a thorough inquiry into the Phase-1 and Phase-2 scheme implemented by the Slum Rehabilitation Authority for the rehabilitation of encroachers in the Sanjay Gandhi National Park,202411251640113109,25-11-2024,508,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411251640113109.pdf,2,520017,GR_DATASET\pdfs\Housing Department\202411251640113109.pdf,Downloaded,2026-07-27 21:34:45
Housing Department,Regarding implementation of One Time Amnesty Scheme for Slum Dwellers who are transferring/buying and selling their Slums after issue of Final Annexure-2 of the stalled Slum Rehabilitation Scheme from long time in Thane Municipal Region.,202410151118530809,15-10-2024,137,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151118530809.pdf,3,140478,GR_DATASET\pdfs\Housing Department\202410151118530809.pdf,Downloaded,2026-07-27 21:34:46
Housing Department,Regarding the return to MHADA of the initial contribution amounting to Rs.300 crores given by MHADA for setting up the Maharashtra Fund...,202410111610417709,11-10-2024,136,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410111610417709.pdf,2,139444,GR_DATASET\pdfs\Housing Department\202410111610417709.pdf,Downloaded,2026-07-27 21:34:47
Housing Department,"C.S.No. 343, Girgaon Division, Building No. 35/D-9 Cess no. 592, regarding the acquisition of land known as Mhatre Building at D-592, Tatya Gharpure Path and Mughabhat Cross Lane Mumbai-400004.",202410111844307309,11-10-2024,158,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410111844307309.pdf,3,161733,GR_DATASET\pdfs\Housing Department\202410111844307309.pdf,Downloaded,2026-07-27 21:34:47
Housing Department,"C.S. No.865, Girgaon Division, Building No.68-72, Cess No.D-2112, 3rd Cross Lane, Khetwadi Back Road, Girgaon, Mumbai-400 004, regarding the acquisition of land known as Rupawala Building",202410111847178809,11-10-2024,159,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410111847178809.pdf,3,163293,GR_DATASET\pdfs\Housing Department\202410111847178809.pdf,Downloaded,2026-07-27 21:34:48
Housing Department,Policy on Creation and distribution of P.A.P. Tenements for persons affected due to implementation of public interest Vital projects,202410091555179609,09-10-2024,203,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410091555179609.pdf,2,207594,GR_DATASET\pdfs\Housing Department\202410091555179609.pdf,Downloaded,2026-07-27 21:34:49
Housing Department,Regarding the allotment of Plot No.791/A of 2000.00 sq.ft at Bandra Reclamation for Cricket Traning Centre to Shri. Ajinkya Madhukar Rahane.,202410071744173409,07-10-2024,449,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410071744173409.pdf,3,459971,GR_DATASET\pdfs\Housing Department\202410071744173409.pdf,Downloaded,2026-07-27 21:34:50
