Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
Marathi Language Department,"Regarding the celebration of Marathi Language Preservation Fortnight from 14th January to 28th January, 2025",202412311310110733,31-12-2024,199,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412311310110733.pdf,5,203556,GR_DATASET\pdfs\Marathi Language Department\202412311310110733.pdf,Downloaded,2026-07-27 21:47:50
Marathi Language Department,"Regarding granting administrative approval and disbursing funds for the expenditure for the purchase of computers, printers and scanners to the office of Maharashtra State Literature and Culture Board, Mumbai.",202411271529255033,27-11-2024,222,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411271529255033.pdf,2,226854,GR_DATASET\pdfs\Marathi Language Department\202411271529255033.pdf,Downloaded,2026-07-27 21:47:51
Marathi Language Department,Regarding the administrative approval of the expenses for making available the two glossaries Designation Glossary and Financial Terminology of the Directorate of Languages and the information of various examinations conducted by the Directorate of Languages on the mobile application Government Dictionary Part-1.,202411261115163033,26-11-2024,352,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411261115163033.pdf,2,360113,GR_DATASET\pdfs\Marathi Language Department\202411261115163033.pdf,Downloaded,2026-07-27 21:47:52
Marathi Language Department,Regarding the reorganization of the Maharashtra Rajya Marathi Vishvakosh Nirmiti Mandal.,202411261406311033,26-11-2024,314,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411261406311033.pdf,3,321408,GR_DATASET\pdfs\Marathi Language Department\202411261406311033.pdf,Downloaded,2026-07-27 21:47:53
Marathi Language Department,Regarding the reorganization of the Maharashtra Rajya Sahitya and Sanskriti Mandal,202410151438500233,15-10-2024,386,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410151438500233.pdf,3,395316,GR_DATASET\pdfs\Marathi Language Department\202410151438500233.pdf,Downloaded,2026-07-27 21:47:54
Marathi Language Department,"Regarding disbursement of funds for CRZ no-obligation certificate and other matters of plot for the project of Marathi Bhasha Bhawan, Maharashtra, Mumbai.",202410111726066433,11-10-2024,179,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410111726066433.pdf,3,182937,GR_DATASET\pdfs\Marathi Language Department\202410111726066433.pdf,Downloaded,2026-07-27 21:47:55
Marathi Language Department,"Officers in the cadre of Deputy Director of Language (Law), Group-A (Gazetted) on the establishment of the Directorate of Languages. Provisional Seniority List as on 01.01.2024.",202410071130311433,07-10-2024,154,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410071130311433.pdf,3,157688,GR_DATASET\pdfs\Marathi Language Department\202410071130311433.pdf,Downloaded,2026-07-27 21:47:55
Marathi Language Department,Regarding changing the name of Anya Sahitya sammelan to Jilha Sahitya Sammelan and increasing the amount of Grant in- aid of it,202410031215059133,03-10-2024,178,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410031215059133.pdf,4,182508,GR_DATASET\pdfs\Marathi Language Department\202410031215059133.pdf,Downloaded,2026-07-27 21:47:56
Marathi Language Department,Temporary posts in Directorate of Languages dt. 01.09.2024 to dt. Regarding extension of time till 28.02.2025.,202409301242249133,30-09-2024,153,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409301242249133.pdf,2,156186,GR_DATASET\pdfs\Marathi Language Department\202409301242249133.pdf,Downloaded,2026-07-27 21:47:57
Marathi Language Department,Temporary posts in Maharashtra State Marathi Encyclopaedia Production Board dt. 01.09.2024 to dt. 28.02.2025 regarding extension of time for this period.,202409301245243333,30-09-2024,152,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409301245243333.pdf,3,155334,GR_DATASET\pdfs\Marathi Language Department\202409301245243333.pdf,Downloaded,2026-07-27 21:47:57
Marathi Language Department,Temporary posts in the office of Maharashtra State Board of Literature and Culture dt. 01.09.2024 to dt. Regarding extension of time till 28.02.2025.,202409301247065433,30-09-2024,145,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409301247065433.pdf,2,148115,GR_DATASET\pdfs\Marathi Language Department\202409301247065433.pdf,Downloaded,2026-07-27 21:47:58
Marathi Language Department,Regarding declaration of Virtual Personal Deposit Account Administrator for drawing and disbursing officers and non-governmental implementing authorities for speedy disbursement and control of Subsidiary Grant...,202409301540023833,30-09-2024,302,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409301540023833.pdf,3,309142,GR_DATASET\pdfs\Marathi Language Department\202409301540023833.pdf,Downloaded,2026-07-27 21:47:59
Marathi Language Department,regarding increasing the amount of Vinda Karandikar Jeevan Gaurav Puraskar and Shri.P.Bhagwat Puraskar,202409271817411933,27-09-2024,331,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409271817411933.pdf,5,338576,GR_DATASET\pdfs\Marathi Language Department\202409271817411933.pdf,Downloaded,2026-07-27 21:48:00
Marathi Language Department,"Deputy Director of State Marathi Development Institute appointed by deputation for 2 years- Mrs. An.Ja. Dhamal, Deputy Commissioner of State Tax, Goods and Services Tax Department, Pune.",202409191753295533,19-09-2024,233,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409191753295533.pdf,6,238532,GR_DATASET\pdfs\Marathi Language Department\202409191753295533.pdf,Downloaded,2026-07-27 21:48:01
Marathi Language Department,"Regarding implementation of Kavite Gaon as an initiative at Ubhadanda, Vengurle in Konkan Division through State Marathi Development Institute",202409131937424533,13-09-2024,327,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409131937424533.pdf,4,335227,GR_DATASET\pdfs\Marathi Language Department\202409131937424533.pdf,Downloaded,2026-07-27 21:48:01
Marathi Language Department,"To Celebrate 15th October, Birthday of former President late Dr. A.P.J. Abdul Kalam, as Reading Inspiration Day.",202409131939571233,13-09-2024,455,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409131939571233.pdf,6,465918,GR_DATASET\pdfs\Marathi Language Department\202409131939571233.pdf,Downloaded,2026-07-27 21:48:02
Marathi Language Department,"Regarding increase in emoluments of Chairman, Maharashtra Rajya Sahitya Aani Sanskruti Mandal, Chairman Bhasha Sallagar Samiti Bhasha Sanchanalaya, Mumbai.",202409111535329233,11-09-2024,449,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409111535329233.pdf,2,460257,GR_DATASET\pdfs\Marathi Language Department\202409111535329233.pdf,Downloaded,2026-07-27 21:48:03
Marathi Language Department,Regarding setting up a committee to follow up with the central government to get the status of classical language to Marathi.,202409101124279533,10-09-2024,140,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409101124279533.pdf,2,143646,GR_DATASET\pdfs\Marathi Language Department\202409101124279533.pdf,Downloaded,2026-07-27 21:48:04
Marathi Language Department,"Final seniority list of officers in the cadre of Deputy Director of Language (Legal), Group-A on the establishment of Directorate of Languages for the period from 01.01.2022 to 01.01.2023.",202409051202396233.....,05-09-2024,555,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051202396233......pdf,3,568648,GR_DATASET\pdfs\Marathi Language Department\202409051202396233......pdf,Downloaded,2026-07-27 21:48:04
Marathi Language Department,"Final seniority list of officers in the cadre of Assistant Language Director, Group-B (Gazetted) on establishment of Directorate of Languages for the period dated 01.01.2020 to 01.01.2023.",202409051206559333....,05-09-2024,466,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051206559333.....pdf,5,477572,GR_DATASET\pdfs\Marathi Language Department\202409051206559333.....pdf,Downloaded,2026-07-27 21:48:05
Marathi Language Department,"Language Officer (Hindi), Group-B (Gazetted) Cadre officers on the establishment of Language Directorate dated 01. 01. Provisional Seniority List as on 2024.",202409051211300433.....,05-09-2024,408,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051211300433......pdf,3,418306,GR_DATASET\pdfs\Marathi Language Department\202409051211300433......pdf,Downloaded,2026-07-27 21:48:06
Marathi Language Department,"Officers in the cadre of Deputy Director of Language (Legal), Group-A (Gazetted) on the establishment of the Directorate of Languages. Provisional Seniority List as on 01.01.2024.",202409051231428433....,05-09-2024,383,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051231428433.....pdf,3,392298,GR_DATASET\pdfs\Marathi Language Department\202409051231428433.....pdf,Downloaded,2026-07-27 21:48:07
Marathi Language Department,"Provisional seniority list for the period dated 01.01.2022 to dated 01.01.2024 of the officers of Secretary, Group-A (Gazetted) cadre on the establishment of Maharashtra State Marathi Encyclopaedia Production Board.",202409051235119033....,05-09-2024,367,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051235119033.....pdf,4,376060,GR_DATASET\pdfs\Marathi Language Department\202409051235119033.....pdf,Downloaded,2026-07-27 21:48:08
Marathi Language Department,"Maharashtra State Board of Literature and Culture Establishment Secretary, Group-A (Gazetted) Cadre Officers dated 01. 01. 2023 to date 01. 01. Provisional Seniority List as on 2024.",202409051239239133...,05-09-2024,409,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051239239133....pdf,3,418832,GR_DATASET\pdfs\Marathi Language Department\202409051239239133....pdf,Downloaded,2026-07-27 21:48:09
Marathi Language Department,Officers in the single cadre of Assistant Language Director (Training and Establishment) Group-B (Gazetted) on the establishment of the Directorate of Languages. 01.01.2023 and dt. 01. 01. Provisional Seniority List for the year 2024.,202409051255462333.....,05-09-2024,386,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051255462333......pdf,4,395420,GR_DATASET\pdfs\Marathi Language Department\202409051255462333......pdf,Downloaded,2026-07-27 21:48:10
Marathi Language Department,"Officers in the cadre of Assistant Language Director, Group-B (Gazetted) on the establishment of the Directorate of Languages. Provisional Seniority List as on 01.01.2024.",202409051301049033...,05-09-2024,539,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051301049033....pdf,4,552158,GR_DATASET\pdfs\Marathi Language Department\202409051301049033....pdf,Downloaded,2026-07-27 21:48:10
Marathi Language Department,Provisional Seniority List dated 01.01.2024 of Officers in Group-B (Gazetted) Cadre of Assistant Secretary on Establishment of Maharashtra State Marathi Encyclopaedia Production Board.,202409051304149233.....,05-09-2024,293,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409051304149233......pdf,3,300942,GR_DATASET\pdfs\Marathi Language Department\202409051304149233......pdf,Downloaded,2026-07-27 21:48:11
Marathi Language Department,Regarding the formation of a committee to settle the claim filed by me. Kalpana Struct Con Pvt. Ltd.,202408301119465433,30-08-2024,226,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408301119465433.pdf,4,231611,GR_DATASET\pdfs\Marathi Language Department\202408301119465433.pdf,Downloaded,2026-07-27 21:48:12
Marathi Language Department,Final Common Seniority List as on 01.01.2024 of of Peon cadre employees (for the period 01.01.2023 to 31.12.2023) in Marathi Language Department.,202408281717168233,28-08-2024,190,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408281717168233.pdf,2,195049,GR_DATASET\pdfs\Marathi Language Department\202408281717168233.pdf,Downloaded,2026-07-27 21:48:13
Marathi Language Department,"Regarding temporary promotion to the post of Language Officer (Hindi), Group-B (Gazetted) in the Directorate of Languages.",202408231451352133,23-08-2024,650,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408231451352133.pdf,2,665231,GR_DATASET\pdfs\Marathi Language Department\202408231451352133.pdf,Downloaded,2026-07-27 21:48:14
Marathi Language Department,"Under the Village of Books expansion scheme, Amalner in Nashik Revenue Division, Distt. Regarding recognition of book villages in Jalgaon.",202408201234554833,20-08-2024,658,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408201234554833.pdf,2,673415,GR_DATASET\pdfs\Marathi Language Department\202408201234554833.pdf,Downloaded,2026-07-27 21:48:15
Marathi Language Department,Regarding giving administrative approval to Directorate of Languages Office for purchase of new Photo Copy Machine for office use.,202408191152376033,19-08-2024,148,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408191152376033.pdf,2,151233,GR_DATASET\pdfs\Marathi Language Department\202408191152376033.pdf,Downloaded,2026-07-27 21:48:15
Marathi Language Department,Provisional seniority list dated 01.01.2024 of officers in the cadre of Deputy Director of Languages (Translation and Terminology)- Group A on establishment of Directorate of Languages.,202408161456444333.,16-08-2024,251,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408161456444333..pdf,3,257338,GR_DATASET\pdfs\Marathi Language Department\202408161456444333..pdf,Downloaded,2026-07-27 21:48:16
Marathi Language Department,Regarding Release of fund to Maharashtra marathi vishvkosh nirmiti mandal to Payment of pending Goods and service tax and office rent for the year of 2024-25 of the offices of Mumbai and wai.,202408061526044833,06-08-2024,152,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202408061526044833.pdf,3,155569,GR_DATASET\pdfs\Marathi Language Department\202408061526044833.pdf,Downloaded,2026-07-27 21:48:17
Marathi Language Department,Provisional seniority list dated 01.01.2024 of officers in the cadre of Deputy Director of Languages (Translation and Terminology)- Group A on establishment of Directorate of Languages.,202407261116385733,26-07-2024,194,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202407261116385733.pdf,3,198309,GR_DATASET\pdfs\Marathi Language Department\202407261116385733.pdf,Downloaded,2026-07-27 21:48:18
Marathi Language Department,"Regarding payment of stamp duty and registration fee for registration of affidavit deed in respect of income CS No. 1736 and 1/1736 Division Girgaon for the project of Marathi Bhasha Bhawan, Maharashtra, Mumbai.",202407231241293633,23-07-2024,146,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202407231241293633.pdf,3,149977,GR_DATASET\pdfs\Marathi Language Department\202407231241293633.pdf,Downloaded,2026-07-27 21:48:18
Marathi Language Department,Regarding contracting as per Government of Indias guidelines while rearing poultry on contract basis.,202407221220325233,22-07-2024,213,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202407221220325233.pdf,2,218417,GR_DATASET\pdfs\Marathi Language Department\202407221220325233.pdf,Downloaded,2026-07-27 21:48:19
Marathi Language Department,"Regarding payment of plan approval fee for the project of Marathi Bhasha Bhavan, Maharashtra, Mumbai",202406241151366133,24-06-2024,147,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202406241151366133.pdf,3,150309,GR_DATASET\pdfs\Marathi Language Department\202406241151366133.pdf,Downloaded,2026-07-27 21:48:20
Marathi Language Department,To Fix the diagram of posts in Marathi Language Department and its Allied offices.,202406061627022033..,06-06-2024,137,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202406061627022033...pdf,2,141161,GR_DATASET\pdfs\Marathi Language Department\202406061627022033...pdf,Downloaded,2026-07-27 21:48:20
Marathi Language Department,Regarding providing funds for the work and ancillary matters of Abhijat Marathi Language Pursuit Committee,202405281152213833,28-05-2024,146,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202405281152213833.pdf,3,149383,GR_DATASET\pdfs\Marathi Language Department\202405281152213833.pdf,Downloaded,2026-07-27 21:48:21
Marathi Language Department,"Regarding authorizing the Joint Secretary / Deputy Secretary, Department of Marathi Language to sign off the plans of the building of Marathi Language Bhawan, Maharashtra, Mumbai...",202405281600192133,28-05-2024,153,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202405281600192133.pdf,2,157073,GR_DATASET\pdfs\Marathi Language Department\202405281600192133.pdf,Downloaded,2026-07-27 21:48:22
Marathi Language Department,"Regarding payment of property tax on the plot acquired in pursuance of the construction of Marathi Bhasha Bhawan, Sub Centre, Airoli.",202404191657323233,19-04-2024,144,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202404191657323233.pdf,2,147441,GR_DATASET\pdfs\Marathi Language Department\202404191657323233.pdf,Downloaded,2026-07-27 21:48:22
Marathi Language Department,Regarding setting up a committee to follow up with the central government to get the status of classical language to Marathi language.,202403141232356033,14-03-2024,137,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202403141232356033.pdf,2,140408,GR_DATASET\pdfs\Marathi Language Department\202403141232356033.pdf,Downloaded,2026-07-27 21:48:23
Marathi Language Department,Marathi Language Policy of Maharashtra State,202403141232424033,14-03-2024,564,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202403141232424033.pdf,12,577397,GR_DATASET\pdfs\Marathi Language Department\202403141232424033.pdf,Downloaded,2026-07-27 21:48:24
Marathi Language Department,"Regarding disbursement of funds for CRZ survey of the plot of land for the project of Marathi Bhasha Bhawan, Maharashtra, Mumbai and obtaining ancillary permissions.",202403011721396933,01-03-2024,150,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202403011721396933.pdf,3,153179,GR_DATASET\pdfs\Marathi Language Department\202403011721396933.pdf,Downloaded,2026-07-27 21:48:25
Marathi Language Department,"Regarding grant of administrative approval for construction of Marathi Bhasha Bhawan, Maharashtra, Mumbai",202403011726475033,01-03-2024,315,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202403011726475033.pdf,6,322375,GR_DATASET\pdfs\Marathi Language Department\202403011726475033.pdf,Downloaded,2026-07-27 21:48:25
Marathi Language Department,Regarding funding for Akhil Bhartiya Marathi Santa Sahitya Sammelan.,202402291410020333,29-02-2024,263,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202402291410020333.pdf,2,269314,GR_DATASET\pdfs\Marathi Language Department\202402291410020333.pdf,Downloaded,2026-07-27 21:48:26
