Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
Minorities Development Department,Regarding distribution of Grant to the Maharashtra State Minority Commission for salary during the financial year 2024-25.,202412311514236414,31-12-2024,342,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412311514236414.pdf,2,350199,GR_DATASET\pdfs\Minorities Development Department\202412311514236414.pdf,Downloaded,2026-07-27 22:48:24
Minorities Development Department,Regarding providing administrative approval for scanning and digitization of important records of Minority Development Department....,202412271752201814,27-12-2024,167,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412271752201814.pdf,2,171226,GR_DATASET\pdfs\Minorities Development Department\202412271752201814.pdf,Downloaded,2026-07-27 22:48:25
Minorities Development Department,"Regarding declaration of Under Secretary (Desk-1), Minority Development Department, Mantralaya, Mumbai as Virtual Personal Deposit Account Administrator (VPDAA) for speedy disbursement and monitoring of Subsidiary Grants.",202412171445512714,17-12-2024,239,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412171445512714.pdf,3,244890,GR_DATASET\pdfs\Minorities Development Department\202412171445512714.pdf,Downloaded,2026-07-27 22:48:26
Minorities Development Department,Regarding celebrating December 18 as Minority Rights Day.,202412161226382314,16-12-2024,216,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412161226382314.pdf,2,221541,GR_DATASET\pdfs\Minorities Development Department\202412161226382314.pdf,Downloaded,2026-07-27 22:48:26
Minorities Development Department,Scholarship Scheme for students from minority communities in the state for postgraduate and Ph.D. courses abroad. Regarding selection of students for the year 2024-25....,202412131525452814,13-12-2024,319,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412131525452814.pdf,3,327155,GR_DATASET\pdfs\Minorities Development Department\202412131525452814.pdf,Downloaded,2026-07-27 22:48:27
Minorities Development Department,Regarding the distribution of funds for the financial year 2024-25 for the Self Help Savings Group Scheme being implemented for minority women in minority dominated areas.,202411291137374014,29-11-2024,176,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411291137374014.pdf,3,179888,GR_DATASET\pdfs\Minorities Development Department\202411291137374014.pdf,Downloaded,2026-07-27 22:48:28
Minorities Development Department,"Regarding distribution of grant to Maharashtra State Minorities Commission for salaries and wages for the financial year 2024-25 from November, 2024 to December, 2024.",202411281525130314,28-11-2024,145,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411281525130314.pdf,2,148873,GR_DATASET\pdfs\Minorities Development Department\202411281525130314.pdf,Downloaded,2026-07-27 22:48:28
Minorities Development Department,"Regarding the distribution of grants for the year 2024-25 for the honorarium of the employees appointed by the external authority for the Solapur Urdu House, maintenance, repair, operation and other expenses of the Urdu House.",202411271103546714,27-11-2024,335,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411271103546714.pdf,3,342614,GR_DATASET\pdfs\Minorities Development Department\202411271103546714.pdf,Downloaded,2026-07-27 22:48:29
Minorities Development Department,Starting the second/third shift in existing industrial training institutes in minority dominated areas of the state... Fund allocation for the year 2024-25.,202411271425446814,27-11-2024,184,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411271425446814.pdf,3,188095,GR_DATASET\pdfs\Minorities Development Department\202411271425446814.pdf,Downloaded,2026-07-27 22:48:30
Minorities Development Department,Regarding approval of taking services of 2 consultants M/s Ernst Young LLP and M/s KPMG Advisory Services Pvt Ltd for Minority Development Department.,202411271716198714...,27-11-2024,183,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411271716198714....pdf,4,187948,GR_DATASET\pdfs\Minorities Development Department\202411271716198714....pdf,Downloaded,2026-07-27 22:48:31
Minorities Development Department,"Regarding the distribution of funds for the distribution of scholarships under the scholarship scheme to minority students in the state studying in medical, technical and professional courses as well as in all courses after class XII.",202411251624051514,25-11-2024,146,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411251624051514.pdf,4,149049,GR_DATASET\pdfs\Minorities Development Department\202411251624051514.pdf,Downloaded,2026-07-27 22:48:32
Minorities Development Department,"Regarding setting up of coordination committee for Sikh community to get benefit of minority scheme, to solve their problems.",202410141649348214,14-10-2024,315,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410141649348214.pdf,2,322521,GR_DATASET\pdfs\Minorities Development Department\202410141649348214.pdf,Downloaded,2026-07-27 22:48:33
Minorities Development Department,Regarding the appointment of representatives from nominated organizations in the District Level Minority Welfare Committee to effectively implement the new 15-point program of the Honble Prime Minister for the welfare of minorities.,202410111829139114,11-10-2024,144,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410111829139114.pdf,3,147889,GR_DATASET\pdfs\Minorities Development Department\202410111829139114.pdf,Downloaded,2026-07-27 22:48:33
Minorities Development Department,Reorganization of Maharashtra State Punjabi Sahitya Akademi and appointment of non-official members and working president on Punjabi Sahitya Akademi by nomination....,202410111936170614....,11-10-2024,140,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410111936170614.....pdf,2,144126,GR_DATASET\pdfs\Minorities Development Department\202410111936170614.....pdf,Downloaded,2026-07-27 22:48:34
