Department,Title,Unique_Code,GR_Date,Website_Size,PDF_URL,Pages,Downloaded_Size(Bytes),Local_File,Download_Status,Downloaded_On
Persons with Disabilities Welfare Department,"Defined Contribution Pension Scheme (DCPS) / National Pension Scheme (NPS) for teaching / non-teaching employees of granted special schools / workshops for persons with disabilities / children homes for mentally deficient persons. Family pension and gratuity to family in case of death of employee while in service, invalid pension and retirement gratuity to employee retired on medical ground and retirement gratuity to employee retired from service.",202412121315448935,12-12-2024,1721,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412121315448935.pdf,26,1762362,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202412121315448935.pdf,Downloaded,2026-07-27 22:00:31
Persons with Disabilities Welfare Department,Regarding declaration of Virtual Personal Deposit Account Administrator (VPDAA) for drawing and disbursing officers and non-governmental implementing authorities for disbursement and control of Subsidiary Grant.,202412121543201835,12-12-2024,391,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412121543201835.pdf,4,400800,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202412121543201835.pdf,Downloaded,2026-07-27 22:00:32
Persons with Disabilities Welfare Department,"Regarding the distribution of funds under 31-Assistive Grants (Non-Salary) to Maharashtra State Divyang Finance and Development Corporation Limited, Mumbai in the financial year 2024-25 (Conditional)...",202412051159401935,05-12-2024,293,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412051159401935.pdf,3,299615,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202412051159401935.pdf,Downloaded,2026-07-27 22:00:32
Persons with Disabilities Welfare Department,"To apply National Pension Scheme Tier I, for teaching/non-teaching staff of aided special schools/workshops for disabled persons, children homes for mentally deficient persons having DCPS scheme.",202412041201105435,04-12-2024,1802,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202412041201105435.pdf,27,1845337,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202412041201105435.pdf,Downloaded,2026-07-27 22:00:34
Persons with Disabilities Welfare Department,"Regarding the appointment of a study group to notify more services under the Divyang Welfare Department in accordance with the provisions of Section 3 of the Maharashtra Right to Public Services Act, 2015.",202411261242358035,26-11-2024,468,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202411261242358035.pdf,3,479006,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202411261242358035.pdf,Downloaded,2026-07-27 22:00:34
Persons with Disabilities Welfare Department,"As per Section-66 of the Rights of Persons with Disabilities Act, 2016 regarding the appointment of Non-Governmental Members of the State Advisory Board.",202410101258467935,10-10-2024,158,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410101258467935.pdf,3,161992,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202410101258467935.pdf,Downloaded,2026-07-27 22:00:35
Persons with Disabilities Welfare Department,Regarding the creation of new posts for the Department of Disability Welfare as well as the Regional Office under the Department,202410101616008135,10-10-2024,174,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410101616008135.pdf,6,178140,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202410101616008135.pdf,Downloaded,2026-07-27 22:00:36
Persons with Disabilities Welfare Department,approval of admissible increments of posts.,202410071716452135,07-10-2024,175,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410071716452135.pdf,5,179414,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202410071716452135.pdf,Downloaded,2026-07-27 22:00:37
Persons with Disabilities Welfare Department,"cancellation of the appointment of the appointed administrator of the Bhartiy Manav Vikas Sanstha School for Mentally Retarded Children, Panvel, District Raigad.",202410031658248835,03-10-2024,148,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202410031658248835.pdf,3,151996,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202410031658248835.pdf,Downloaded,2026-07-27 22:00:37
Persons with Disabilities Welfare Department,"Maharashtra State Disability Finance and Development Corporation Marya., Mumbai regarding disbursement of grants under 36-Subsidiary Grants (Salary) for the financial year 2024-25 (Mandatory) (Unconditional)",202409301825290335,30-09-2024,202,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/202409301825290335.pdf,4,207024,GR_DATASET\pdfs\Persons with Disabilities Welfare Department\202409301825290335.pdf,Downloaded,2026-07-27 22:00:38
